LOCATION,Country,TIME,Time,School_Life_Expectancy,sex
GHA,Ghana,2021,2021,11.68865,Female
GHA,Ghana,2022,2022,11.51691,Female
SVK,Slovakia,2017,2017,14.07819,Female
SVK,Slovakia,2018,2018,14.03665,Female
SVK,Slovakia,2019,2019,14.00949,Female
SVK,Slovakia,2020,2020,14.06161,Female
SVK,Slovakia,2021,2021,14.19749,Female
SVK,Slovakia,2022,2022,14.39934,Female
IRL,Ireland,2017,2017,18.62423,Female
IRL,Ireland,2018,2018,19.26097,Female
IRL,Ireland,2019,2019,18.64552,Female
IRL,Ireland,2020,2020,18.44169,Female
IRL,Ireland,2021,2021,18.77158,Female
TZA,United Republic of Tanzania,2017,2017,7.99015,Female
TZA,United Republic of Tanzania,2019,2019,8.76623,Female
TZA,United Republic of Tanzania,2021,2021,8.72376,Female
40515,East Asia and the Pacific,2017,2017,13.94182,Female
40515,East Asia and the Pacific,2018,2018,14.06322,Female
40515,East Asia and the Pacific,2019,2019,14.27354,Female
40515,East Asia and the Pacific,2020,2020,14.4658,Female
40515,East Asia and the Pacific,2021,2021,14.69742,Female
40515,East Asia and the Pacific,2022,2022,14.87598,Female
40540,Sub-Saharan Africa,2017,2017,8.80973,Female
40613,South-Eastern Asia,2017,2017,13.23715,Female
40613,South-Eastern Asia,2018,2018,13.28307,Female
40613,South-Eastern Asia,2019,2019,13.35684,Female
40613,South-Eastern Asia,2020,2020,13.35691,Female
40613,South-Eastern Asia,2021,2021,13.5433,Female
40614,Western Asia,2017,2017,12.41981,Female
40614,Western Asia,2018,2018,12.60019,Female
40614,Western Asia,2019,2019,12.71702,Female
40614,Western Asia,2020,2020,12.84301,Female
40614,Western Asia,2021,2021,12.99145,Female
40614,Western Asia,2022,2022,13.03331,Female
BGR,Bulgaria,2017,2017,14.41951,Female
BGR,Bulgaria,2018,2018,14.30073,Female
BGR,Bulgaria,2019,2019,14.00138,Female
BGR,Bulgaria,2020,2020,13.79266,Female
BGR,Bulgaria,2021,2021,13.62206,Female
BLZ,Belize,2017,2017,13.55812,Female
BLZ,Belize,2018,2018,13.61111,Female
BLZ,Belize,2019,2019,13.65922,Female
BLZ,Belize,2020,2020,13.55454,Female
BLZ,Belize,2021,2021,13.19169,Female
BLZ,Belize,2022,2022,12.80862,Female
MKD,North Macedonia,2017,2017,12.95032,Female
MKD,North Macedonia,2018,2018,12.81453,Female
MKD,North Macedonia,2019,2019,12.53417,Female
MKD,North Macedonia,2020,2020,12.50205,Female
MKD,North Macedonia,2021,2021,12.60997,Female
MKD,North Macedonia,2022,2022,12.67132,Female
40041,High income countries,2017,2017,16.12171,Female
40041,High income countries,2018,2018,16.06721,Female
40041,High income countries,2019,2019,16.09518,Female
40041,High income countries,2020,2020,16.08562,Female
40041,High income countries,2021,2021,16.04986,Female
40041,High income countries,2022,2022,16.07404,Female
SWE,Sweden,2017,2017,19.91831,Female
SWE,Sweden,2018,2018,20.06899,Female
SWE,Sweden,2019,2019,19.78601,Female
SWE,Sweden,2020,2020,20.07491,Female
SWE,Sweden,2021,2021,20.65983,Female
SWE,Sweden,2022,2022,20.70726,Female
CIV,Côte d'Ivoire,2017,2017,10.24315,Female
CIV,Côte d'Ivoire,2019,2019,10.54879,Female
CIV,Côte d'Ivoire,2020,2020,10.6576,Female
VAT,Holy See,2017,2017,,Female
VAT,Holy See,2018,2018,,Female
VAT,Holy See,2019,2019,,Female
VAT,Holy See,2020,2020,,Female
VAT,Holy See,2021,2021,,Female
VAT,Holy See,2022,2022,,Female
VAT,Holy See,2023,2023,,Female
PER,Peru,2017,2017,14.47679,Female
40620,Europe,2017,2017,16.45432,Female
40620,Europe,2018,2018,16.57084,Female
40620,Europe,2019,2019,16.58843,Female
40620,Europe,2020,2020,16.58449,Female
40620,Europe,2021,2021,16.74366,Female
40620,Europe,2022,2022,16.75818,Female
ALB,Albania,2017,2017,15.53131,Female
ALB,Albania,2018,2018,15.36147,Female
ALB,Albania,2019,2019,15.43577,Female
ALB,Albania,2020,2020,15.01956,Female
ALB,Albania,2021,2021,14.84925,Female
ALB,Albania,2022,2022,14.68104,Female
40510,World,2017,2017,12.17206,Female
40510,World,2018,2018,12.18544,Female
40510,World,2019,2019,12.22309,Female
40510,World,2020,2020,12.38885,Female
40510,World,2021,2021,12.46197,Female
40510,World,2022,2022,12.58707,Female
MRT,Mauritania,2017,2017,8.17936,Female
MRT,Mauritania,2018,2018,8.56948,Female
MRT,Mauritania,2019,2019,8.69101,Female
MRT,Mauritania,2020,2020,7.95745,Female
SEN,Senegal,2019,2019,9.36251,Female
SEN,Senegal,2020,2020,9.57515,Female
SEN,Senegal,2021,2021,9.71004,Female
SEN,Senegal,2022,2022,9.88596,Female
MUS,Mauritius,2017,2017,15.37428,Female
MUS,Mauritius,2018,2018,15.37549,Female
MUS,Mauritius,2019,2019,15.34187,Female
MUS,Mauritius,2020,2020,15.18283,Female
NLD,Netherlands,2017,2017,18.15489,Female
NLD,Netherlands,2018,2018,18.11558,Female
NLD,Netherlands,2020,2020,18.12661,Female
NLD,Netherlands,2021,2021,18.23271,Female
QAT,Qatar,2017,2017,14.93775,Female
QAT,Qatar,2018,2018,14.95256,Female
QAT,Qatar,2019,2019,15.16505,Female
QAT,Qatar,2020,2020,15.28956,Female
MYS,Malaysia,2017,2017,12.94913,Female
MYS,Malaysia,2018,2018,12.71047,Female
MYS,Malaysia,2019,2019,12.64428,Female
MYS,Malaysia,2020,2020,12.50049,Female
MYS,Malaysia,2021,2021,12.49646,Female
CRI,Costa Rica,2017,2017,15.66827,Female
CRI,Costa Rica,2018,2018,15.77196,Female
CRI,Costa Rica,2019,2019,16.3951,Female
EST,Estonia,2017,2017,15.06387,Female
EST,Estonia,2018,2018,14.99603,Female
EST,Estonia,2019,2019,14.97369,Female
EST,Estonia,2020,2020,14.99682,Female
EST,Estonia,2021,2021,15.13871,Female
EST,Estonia,2022,2022,15.1443,Female
40606,Sub-Saharan Africa,2017,2017,8.80366,Female
MNG,Mongolia,2019,2019,13.76214,Female
ISL,Iceland,2017,2017,19.8511,Female
ISL,Iceland,2018,2018,19.61598,Female
ISL,Iceland,2019,2019,19.42679,Female
ISL,Iceland,2020,2020,19.46157,Female
ISL,Iceland,2021,2021,20.50426,Female
DNK,Denmark,2017,2017,19.45062,Female
DNK,Denmark,2018,2018,19.3261,Female
DNK,Denmark,2019,2019,19.21278,Female
DNK,Denmark,2020,2020,19.25827,Female
DNK,Denmark,2021,2021,19.37519,Female
DNK,Denmark,2022,2022,19.32867,Female
40619,Eastern and South-Eastern Asia,2017,2017,13.33679,Female
40619,Eastern and South-Eastern Asia,2018,2018,13.44216,Female
40619,Eastern and South-Eastern Asia,2019,2019,13.57716,Female
40619,Eastern and South-Eastern Asia,2020,2020,13.79822,Female
40619,Eastern and South-Eastern Asia,2021,2021,14.04912,Female
40619,Eastern and South-Eastern Asia,2022,2022,14.24518,Female
MOZ,Mozambique,2017,2017,10.85025,Female
40500,North America and Western Europe,2017,2017,17.31182,Female
40500,North America and Western Europe,2018,2018,17.31829,Female
40500,North America and Western Europe,2019,2019,17.35273,Female
40500,North America and Western Europe,2020,2020,17.37531,Female
40500,North America and Western Europe,2021,2021,17.46155,Female
40500,North America and Western Europe,2022,2022,17.49509,Female
CHL,Chile,2017,2017,16.76624,Female
CHL,Chile,2018,2018,16.86311,Female
CHL,Chile,2019,2019,16.8846,Female
CHL,Chile,2020,2020,16.57752,Female
CHL,Chile,2021,2021,17.08077,Female
CHL,Chile,2022,2022,17.18331,Female
SRB,Serbia,2017,2017,14.46343,Female
SRB,Serbia,2018,2018,14.39917,Female
SRB,Serbia,2019,2019,14.30753,Female
SRB,Serbia,2020,2020,14.04029,Female
SRB,Serbia,2021,2021,13.98247,Female
SRB,Serbia,2022,2022,13.29494,Female
40675,World,2017,2017,12.17206,Female
40675,World,2018,2018,12.18544,Female
40675,World,2019,2019,12.22309,Female
40675,World,2020,2020,12.38885,Female
40675,World,2021,2021,12.46197,Female
40675,World,2022,2022,12.58707,Female
IND,India,2017,2017,12.86585,Female
IND,India,2018,2018,11.85295,Female
IND,India,2019,2019,11.83324,Female
IND,India,2020,2020,12.083,Female
IND,India,2021,2021,12.31828,Female
IND,India,2022,2022,12.92634,Female
IND,India,2023,2023,12.83378,Female
KOR,Republic of Korea,2017,2017,16.8981,Female
KOR,Republic of Korea,2018,2018,16.80244,Female
KOR,Republic of Korea,2019,2019,16.75326,Female
KOR,Republic of Korea,2020,2020,16.7398,Female
KOR,Republic of Korea,2021,2021,16.84387,Female
KOR,Republic of Korea,2022,2022,16.91987,Female
GRC,Greece,2017,2017,18.88993,Female
GRC,Greece,2018,2018,19.18727,Female
GRC,Greece,2019,2019,19.58317,Female
GRC,Greece,2020,2020,19.54765,Female
GRC,Greece,2021,2021,19.89186,Female
ARG,Argentina,2017,2017,16.47525,Female
ARG,Argentina,2018,2018,16.46805,Female
ARG,Argentina,2019,2019,16.61041,Female
ARG,Argentina,2020,2020,16.75852,Female
ARG,Argentina,2021,2021,17.13033,Female
RWA,Rwanda,2017,2017,11.07409,Female
RWA,Rwanda,2018,2018,10.76707,Female
RWA,Rwanda,2019,2019,10.82271,Female
RWA,Rwanda,2022,2022,11.28066,Female
40616,Southern Asia,2017,2017,11.36289,Female
40616,Southern Asia,2018,2018,10.78044,Female
40616,Southern Asia,2019,2019,10.87352,Female
40616,Southern Asia,2020,2020,11.06459,Female
40616,Southern Asia,2021,2021,11.23637,Female
40616,Southern Asia,2022,2022,11.647,Female
CYP,Cyprus,2017,2017,15.27492,Female
CYP,Cyprus,2018,2018,15.60838,Female
CYP,Cyprus,2019,2019,15.96283,Female
CYP,Cyprus,2020,2020,16.07854,Female
CYP,Cyprus,2021,2021,15.84014,Female
PSE,Palestine,2017,2017,13.98661,Female
PSE,Palestine,2018,2018,14.01313,Female
PSE,Palestine,2019,2019,14.024,Female
PSE,Palestine,2020,2020,13.98743,Female
PSE,Palestine,2021,2021,13.90925,Female
PSE,Palestine,2022,2022,13.95714,Female
40042,Lower middle income countries,2017,2017,10.96823,Female
40042,Lower middle income countries,2018,2018,10.88681,Female
40042,Lower middle income countries,2019,2019,10.92591,Female
